,mz,rt,lcms mode
LN689,250.072207,11.9869,-1
LN697,479.101621,12.03266667,-1
LN699,431.1931996,12.03266667,-1
LN698,353.1822128,12.03266667,-1
LN696,206.0828481,12.03266667,-1
LN695,399.1649913,12.03266667,-1
LN704,565.1867307,12.07855,-1
LN701,474.1771254,12.07855,-1
LN702,343.1032408,12.07855,-1
LN712,464.0955967,12.12421667,-1
LN709,269.0457627,12.12421667,-1
LN710,329.1249644,12.12421667,-1
LN713,651.1131131,12.12421667,-1
LN708,417.1768367,12.12421667,-1
LN707,637.1001654,12.12421667,-1
LN706,597.2395822,12.12421667,-1
LN718,643.082799,12.16998333,-1
LN719,392.1237826,12.16998333,-1
LN715,351.0569959,12.16998333,-1
LN717,426.0988363,12.16998333,-1
LN716,453.1183277,12.16998333,-1
LN714,621.1070121,12.16998333,-1
LN725,549.2487789,12.21576667,-1
LN724,503.2489544,12.21576667,-1
LN732,438.1544324,12.26163333,-1
LN733,559.1009447,12.26163333,-1
LN730,375.1589062,12.26163333,-1
LN728,461.068824,12.26163333,-1
LN727,431.0946816,12.26163333,-1
LN731,607.1220247,12.26163333,-1
LN729,312.1249122,12.26163333,-1
LN736,357.1217763,12.3073,-1
LN735,173.0826833,12.3073,-1
LN734,491.1175959,12.3073,-1
LN741,206.0829731,12.35308333,-1
LN744,304.9139216,12.35308333,-1
LN743,347.1329839,12.35308333,-1
LN740,494.5867692,12.35308333,-1
LN747,479.0851938,12.39885,-1
LN750,170.8344267,12.39885,-1
LN751,451.1120073,12.39885,-1
LN746,121.0301547,12.39885,-1
LN748,246.0985569,12.39885,-1
LN745,367.1595456,12.39885,-1
LN757,665.27428,12.44471667,-1
LN758,217.1087317,12.44471667,-1
LN756,501.0921871,12.44471667,-1
LN755,389.1253722,12.44471667,-1
LN754,449.1634535,12.44471667,-1
LN753,285.0407169,12.44471667,-1
LN762,416.1977373,12.49038333,-1
LN763,648.273294,12.49038333,-1
LN764,405.1697097,12.49038333,-1
LN771,508.0679362,12.53616667,-1
LN776,516.0498328,12.53616667,-1
LN777,539.0543078,12.53616667,-1
LN778,447.0908081,12.53616667,-1
LN775,703.1247866,12.53616667,-1
LN768,465.1965568,12.53616667,-1
LN770,443.190473,12.53616667,-1
LN769,214.0179579,12.53616667,-1
LN766,497.0771578,12.53616667,-1
LN767,505.0598486,12.53616667,-1
LN765,486.0888734,12.53616667,-1
LN790,271.0498272,12.58136667,-1
LN793,524.0468419,12.58136667,-1
LN794,501.0465494,12.58136667,-1
LN786,482.5725941,12.58136667,-1
LN791,257.102376,12.58136667,-1
LN787,479.0967308,12.58136667,-1
LN792,673.113229,12.58136667,-1
LN784,490.053085,12.58136667,-1
LN785,505.0628082,12.58136667,-1
LN789,427.1621781,12.58136667,-1
LN783,490.0596889,12.58136667,-1
LN782,472.0925123,12.58136667,-1
LN781,482.074129,12.58136667,-1
LN780,269.0448936,12.58136667,-1
LN779,471.084652,12.58136667,-1
LN795,472.0851363,12.62523333,-1
LN796,261.1341307,12.62523333,-1
LN804,582.2722017,12.67045,-1
LN808,475.2191294,12.67045,-1
LN801,167.0357632,12.67045,-1
LN802,574.2565717,12.67045,-1
LN799,432.1312336,12.67045,-1
LN800,153.0203773,12.67045,-1
LN822,556.1872015,12.71625,-1
LN814,403.1162116,12.71625,-1
LN813,551.2557028,12.71625,-1
LN816,449.2055894,12.71625,-1
LN812,171.0669452,12.71625,-1
LN819,396.1921275,12.71625,-1
LN810,245.0932229,12.71625,-1
LN811,395.1911928,12.71625,-1
LN824,491.1210786,12.76198333,-1
LN823,491.1138213,12.76198333,-1
LN838,524.1007252,12.80786667,-1
LN835,527.0744304,12.80786667,-1
LN837,314.0430042,12.80786667,-1
LN830,486.0942671,12.80786667,-1
LN831,445.0760851,12.80786667,-1
LN832,330.0702266,12.80786667,-1
LN833,372.112869,12.80786667,-1
LN828,432.1352518,12.80786667,-1
LN829,329.0658617,12.80786667,-1
LN826,432.1299668,12.80786667,-1
LN827,432.132685,12.80786667,-1
LN825,505.0955189,12.80786667,-1
LN839,299.0581561,12.85325,-1
LN843,150.0566792,12.89901667,-1
LN848,417.2120479,12.89901667,-1
LN842,141.0928051,12.89901667,-1
LN841,185.0824509,12.89901667,-1
LN861,300.0598992,12.94478333,-1
LN855,505.0936974,12.94478333,-1
LN858,557.1108654,12.94478333,-1
LN856,527.0974518,12.94478333,-1
LN853,284.0319601,12.94478333,-1
LN852,349.1498971,12.94478333,-1
LN851,343.2131455,12.94478333,-1
LN850,413.5795284,12.94478333,-1
LN864,413.0789413,12.94478333,-1
LN870,387.1229582,12.99066667,-1
LN875,653.2649631,12.99066667,-1
LN872,229.0274079,12.99066667,-1
LN874,302.1613422,12.99066667,-1
LN873,518.1853131,12.99066667,-1
LN869,629.2813915,12.99066667,-1
LN876,629.7738553,12.99066667,-1
LN867,173.0824148,12.99066667,-1
LN868,629.2711432,12.99066667,-1
LN866,457.2058777,12.99066667,-1
LN887,681.3775158,13.03633333,-1
LN888,257.1027339,13.03633333,-1
LN885,471.0827349,13.03633333,-1
LN882,188.0358643,13.03633333,-1
LN884,646.275851,13.03633333,-1
LN886,679.3609991,13.03633333,-1
LN877,193.0507051,13.03633333,-1
LN880,243.1236833,13.03633333,-1
LN879,467.2154412,13.03633333,-1
LN881,421.2060865,13.03633333,-1
LN878,467.210673,13.03633333,-1
LN896,440.0503906,13.0821,-1
LN893,394.0578504,13.0821,-1
LN891,409.0644936,13.0821,-1
LN895,698.2795843,13.0821,-1
LN894,721.285831,13.0821,-1
LN892,797.1450441,13.0821,-1
LN890,527.1023756,13.0821,-1
LN889,269.0449781,13.0821,-1
LN910,413.2177295,13.12566667,-1
LN911,465.26934,13.12566667,-1
LN908,451.2181277,13.12566667,-1
LN902,497.094504,13.12566667,-1
LN904,767.1313413,13.12566667,-1
LN900,289.0566069,13.12566667,-1
LN901,497.0896874,13.12566667,-1
LN899,121.0297968,13.12566667,-1
LN898,383.5707198,13.12566667,-1
LN897,237.0401203,13.12566667,-1
LN923,258.1710368,13.17011667,-1
LN924,327.2181086,13.17011667,-1
LN920,329.0669909,13.17011667,-1
LN922,633.2667801,13.17011667,-1
LN917,271.0487959,13.17011667,-1
LN918,655.7640449,13.17011667,-1
LN915,209.079652,13.17011667,-1
LN914,329.1622517,13.17011667,-1
LN913,632.2637323,13.17011667,-1
LN925,195.0307475,13.17011667,-1
LN912,187.0977719,13.17011667,-1
LN938,641.2626176,13.21578333,-1
LN941,459.2250997,13.21578333,-1
LN944,566.7417726,13.21578333,-1
LN932,243.124836,13.21578333,-1
LN942,635.2411465,13.21578333,-1
LN934,299.0584907,13.21578333,-1
LN943,566.2398922,13.21578333,-1
LN946,423.2222266,13.21578333,-1
LN929,299.055667,13.21578333,-1
LN937,427.1931519,13.21578333,-1
LN939,341.1965418,13.21578333,-1
LN935,589.2438738,13.21578333,-1
LN933,648.2720283,13.21578333,-1
LN931,640.2584753,13.21578333,-1
LN930,329.1600856,13.21578333,-1
LN927,617.2664138,13.21578333,-1
LN928,617.7597509,13.21578333,-1
LN926,617.260514,13.21578333,-1
LN949,343.2141956,13.26105,-1
LN952,582.7550585,13.26105,-1
LN955,255.0874982,13.26105,-1
LN954,395.2120163,13.26105,-1
LN951,241.0541783,13.26105,-1
LN950,582.25636,13.26105,-1
LN948,432.1310419,13.26105,-1
LN961,569.2256972,13.3068,-1
LN962,415.1953831,13.3068,-1
LN959,580.2365492,13.3068,-1
LN957,551.2391041,13.3068,-1
LN956,229.1083818,13.3068,-1
